Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Elon Musk,@elonmusk,,3.4K,25K,4.8K,15M,https://x.com/elonmusk/status/1824571630611251681,https://x.com/elonmusk,Try Grok 2!,6h,2024-08-16T22:19:10.000Z
Wall Street Silver,@WallStreetSilv,"https://pbs.twimg.com/ext_tw_video_thumb/1824543508721471488/pu/img/vkzGkL4jncbjqTxC.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1824543508721471488/pu/img/vkzGkL4jncbjqTxC.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1824543508721471488/pu/img/vkzGkL4jncbjqTxC.jpg",1.1K,4.2K,354,361K,https://x.com/WallStreetSilv/status/1824543873986859365,https://x.com/WallStreetSilv,"Flashback:

NPR CEO Katherine Maher telling us that the “truth gets in the way of getting things done” 

This is what the legacy ""news"" media actually believes. But normally they don't say it out loud as the NPR CEO did.",8h,2024-08-16T20:28:52.000Z
Dongwook,@DongWookChung2,"https://pbs.twimg.com/media/GT6Tsx7XUAAlGLw?format=jpg&name=small, https://pbs.twimg.com/media/GT6Tsx7XUAAlGLw?format=jpg&name=small",130,953,33,510K,https://x.com/DongWookChung2/status/1824533755077230758,https://x.com/DongWookChung2,Community Spam Setting is now accessible to all admins with the web and the latest version of the mobile apps,9h,2024-08-16T19:48:40.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/amplify_video_thumb/1824612677022285824/img/TpAlf4gZwLt3fYsi.jpg, https://pbs.twimg.com/amplify_video_thumb/1824612677022285824/img/TpAlf4gZwLt3fYsi.jpg, https://pbs.twimg.com/amplify_video_thumb/1824612677022285824/img/TpAlf4gZwLt3fYsi.jpg",3.6K,14K,1.6K,1.1M,https://x.com/elonmusk/status/1824663503287759332,https://x.com/elonmusk,Great explanation of inflation by @friedberg,52m,2024-08-17T04:24:14.000Z
Elon Musk,@elonmusk,"https://pbs.twimg.com/media/DloJ2L1UYAAlJcV.jpg, https://pbs.twimg.com/media/DloJ2L1UYAAlJcV.jpg, https://pbs.twimg.com/media/DloJ2L1UYAAlJcV.jpg",25K,94K,4.1K,10M,https://x.com/elonmusk/status/1824411157269975500,https://x.com/elonmusk,Exactly,17h,2024-08-16T11:41:30.000Z
Elon Musk,@elonmusk,,18K,132K,9.2K,28M,https://x.com/elonmusk/status/1824410638707237102,https://x.com/elonmusk,It’s crazy how much people trust the media in Europe!,17h,2024-08-16T11:39:26.000Z
Elon Musk,@elonmusk,,125K,615K,38K,49M,https://x.com/elonmusk/status/1824410315422871867,https://x.com/elonmusk,"Inflation is caused by the Federal government spending more than it earns, because they just print more money to make up the difference. 

To solve inflation, reduce wasteful government spending. Your tax dollars should be spent well, not poorly.",17h,2024-08-16T11:38:09.000Z
Elon Musk,@elonmusk,,43K,139K,9.2K,14M,https://x.com/elonmusk/status/1824409551338148309,https://x.com/elonmusk,"What happens when price controls are mandated
https://npr.org/sections/parallels/2015/10/29/452636462/the-nightmare-of-grocery-shopping-in-venezuela#:~:text=Kyodo%2FLandov-,Empty%20shelves%2C%20like%20these%20at%20a%20supermarket%20in%20Caracas%2C%20are,scanning%20to%20prove%20their%20identity….",17h,2024-08-16T11:35:07.000Z
Elon Musk,@elonmusk,,21K,149K,6.8K,33M,https://x.com/elonmusk/status/1824333954519900371,https://x.com/elonmusk,Yes,22h,2024-08-16T06:34:43.000Z
Nemo,@thecaptain_nemo,"https://pbs.twimg.com/media/GVD8dBzaEAAjPIc?format=jpg&name=small, https://pbs.twimg.com/media/GVD8dBzaEAAjPIc?format=jpg&name=small",1.6K,9.9K,833,3.3M,https://x.com/thecaptain_nemo/status/1824235427207004520,https://x.com/thecaptain_nemo,"NEW: Harris will propose providing up to $25K in down payment support for 1st time homeowners, with more generous support for 1st generation homeowners, according to campaign official
She'll announce tomorrow in NC, along w/ her plan to  ban corporate price-gouging on groceries",Aug 16,2024-08-16T00:03:13.000Z
